year,mass-change,var
2002.290,140.054,42.9851
2002.360,152.293,31.3237
2002.620,128.995,26.4005
2002.710,110.796,110.627
2002.790,92.05,30.8911
2002.880,100.845,21.6209
2002.960,170.797,27.2493
2003.040,186.681,54.3991
2003.120,192.443,26.9936
2003.210,160.487,18.1815
2003.290,231.812,27.1446
2003.360,210.325,18.597
2003.540,159.998,15.0242
2003.620,153.465,13.6615
2003.710,161.889,15.2315
2003.790,173.114,16.2385
2003.880,161.213,16.8722
2003.960,168.23,18.2146
2004.020,142.773,26.837
2004.130,168.108,17.4502
2004.210,183.727,18.5631
2004.290,141.47,23.1386
2004.380,159.389,19.3169
2004.460,172.18,20.1267
2004.540,144.393,30.515
2004.630,172.582,99.2801
2004.710,124.069,25.8185
2004.790,80.4711,98.6392
2004.880,72.6886,22.822
2004.960,85.3212,14.7978
2005.040,91.3501,13.2119
2005.120,70.5383,17.4702
2005.210,93.5283,14.1513
2005.290,55.7502,31.8877
2005.370,84.3668,15.2803
2005.460,107.359,14.9583
2005.540,71.7551,14.8723
2005.620,20.3386,23.9919
2005.710,35.007,14.3586
2005.790,6.13119,15.3706
2005.880,12.5655,13.8015
2005.960,64.6324,24.8065
2006.040,16.2257,15.4477
2006.120,-5.58886,25.9483
2006.210,43.0259,14.143
2006.290,21.3253,14.0354
2006.370,23.7568,14.272
2006.460,12.636,18.4019
2006.540,-29.9875,26.9163
2006.620,-32.3937,18.1142
2006.710,-35.8665,17.67
2006.790,-16.0229,13.5743
2006.880,-56.7207,19.1887
2006.960,-45.1182,15.1184
2007.040,-57.7658,28.5774
2007.120,-24.9357,14.5242
2007.210,-11.9106,11.996
2007.290,-0.880058,13.3649
2007.370,16.5698,13.3184
2007.460,5.68349,14.5069
2007.540,-56.4468,15.9484
2007.620,-62.0045,14.2887
2007.710,-54.9021,17.4081
2007.790,-77.2496,15.4278
2007.880,-30.9236,29.5913
2007.960,-52.5126,16.9168
2008.040,-68.4942,16.6446
2008.130,-43.002,20.3841
2008.210,-47.2198,14.5905
2008.290,-30.4993,17.9696
2008.380,-38.2911,16.0723
2008.460,-59.5377,15.4449
2008.540,-73.6384,13.9592
2008.630,-75.2682,16.426
2008.710,-106.86,14.3149
2008.790,-107.427,12.6575
2008.880,-114.624,17.8067
2008.960,-62.3236,23.124
2009.040,-78.2774,17.5156
2009.120,-74.1333,17.634
2009.210,-54.5206,17.3749
2009.290,-80.9812,15.1184
2009.370,-82.3367,16.7887
2009.460,-75.0806,17.018
2009.540,-56.8667,19.2559
2009.620,-108.504,15.4539
2009.710,-150.518,17.0333
2009.790,-147.461,16.9064
2009.880,-115.609,17.9816
2009.960,-74.4204,21.8995
2010.040,-64.6916,29.1518
2010.120,-108.134,19.5873
2010.210,-88.7486,18.143
2010.290,-104.003,18.4735
2010.370,-95.7332,15.9437
2010.460,-83.3616,22.9312
2010.540,-126.14,16.5991
2010.620,-174.217,12.0205
2010.710,-167.257,19.1662
2010.790,-176.407,15.8391
2010.880,-180.528,13.1337
2010.950,-188.209,15.1945
2011.130,-174.124,15.687
2011.210,-208.644,14.3757
2011.290,-155.084,21.8784
2011.370,-149.409,26.0511
2011.550,-189.478,22.3928
2011.620,-183.335,30.7859
2011.710,-198.287,27.9045
2011.790,-247.88,16.936
2011.830,-262.348,13.6883
2011.990,-250.326,12.6856
2012.040,-229.602,16.9839
2012.130,-207.794,22.4913
2012.210,-200.228,20.0432
2012.260,-232.584,16.0453
2012.460,-194.573,70.6083
2012.540,-258.595,202.811
2012.630,-257.876,21.5514
2012.700,-318.258,24.3151
2012.880,-282.705,24.3373
2012.960,-290.292,23.7662
2013.040,-262.316,21.6663
2013.120,-275.82,23.0188
2013.300,-208.097,26.8036
2013.370,-232.142,21.0258
2013.460,-256.914,23.4522
2013.540,-281.979,20.0025
2013.790,-287.58,20.45
2013.880,-308.486,19.9785
2013.960,-316.269,18.7915
2014.020,-269.935,71.4358
2014.210,-257.982,18.2595
2014.290,-243.225,20.0484
2014.370,-252.804,16.2682
2014.450,-243.991,22.0717
2014.620,-285.924,19.2632
2014.710,-309.637,20.9437
2014.790,-273.265,18.6142
2014.880,-282.46,18.5388
2015.060,-265.019,249.589
2015.120,-235.797,8.16093
2015.210,-271.398,19.5184
2015.290,-291.598,17.0032
2015.320,-284.817,17.3977
2015.540,-303.673,22.3502
2015.620,-323.805,15.4177
2015.700,-322.149,17.9046
2015.980,-312.686,20.8033
2016.040,-292.486,16.9769
2016.120,-299.331,15.9566
2016.210,-298.752,14.7874
2016.380,-294.82,19.0354
2016.460,-302.653,16.1117
2016.540,-315.418,16.5716
2016.640,-333.313,23.2618
2016.910,-316.373,18.5185
2016.980,-275.895,20.6128
2017.060,-355.849,26.0817
2017.250,-377.244,32.2876
2017.310,-317.547,34.7825
2017.360,-347.467,20.7009
2017.440,-349.982,42.0649
2018.460,-333.116,15.9072
2018.520,-361.79,23.8139
2018.830,-400.752,24.3913
2018.880,-384.485,17.1106
2018.960,-366.601,18.2475
2019.040,-362.174,17.7008
2019.120,-384.341,20.3939
2019.210,-350.441,17.5322
2019.290,-345.378,17.561
2019.370,-344.312,18.3073
2019.460,-359.609,18.9255
2019.540,-392.745,18.1149
2019.620,-421.328,19.1141
2019.710,-434.983,21.2527
2019.790,-401.249,18.3534
2019.880,-391.863,17.1592
2019.960,-407.078,17.5449
2020.040,-421.65,18.8842
2020.130,-436.228,18.8135
2020.210,-385.237,17.1801
2020.290,-412.126,17.4534
2020.380,-369.669,19.9806
2020.460,-416.49,21.1766
